                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7159,                 4.3056,                 1.4993,                0.43673,                0.37168,                0.41164,                0.15401,                  2.096,                 3.9251,                 1.1275,             0.00015719,             0.00015719,             0.00015719
                      2,                 2.1892,                 3.5112,                 1.1134,                0.61413,                0.49257,                0.51269,                0.19514,                 1.8932,                 3.2263,                 1.0535,             0.00032759,             0.00032759,             0.00032759
                      3,                 2.0596,                 3.1693,                 1.1316,                0.75868,                0.58873,                0.63622,                0.26744,                 1.8364,                 2.9286,                 1.0648,             0.00049685,             0.00049685,             0.00049685
                      4,                 1.9763,                 2.9703,                 1.1066,                0.59948,                0.61432,                  0.519,                0.22359,                  1.821,                 4.0852,                  1.067,             0.00066498,             0.00066498,             0.00066498
                      5,                 1.9243,                 2.4132,                 1.1001,                0.72594,                0.67714,                0.73397,                0.33254,                 1.7482,                 2.4576,                  1.055,             0.00083198,             0.00083198,             0.00083198
                      6,                  1.806,                  2.507,                 1.0498,                0.45608,                0.52591,                0.48043,                0.19658,                 1.8251,                 3.6934,                 1.0721,             0.00099785,             0.00099785,             0.00099785
                      7,                 1.8486,                 2.3158,                  1.035,                0.74683,                0.72643,                0.75861,                0.35602,                 1.6862,                 2.0725,                 1.0384,              0.0011626,              0.0011626,              0.0011626
                      8,                 1.9257,                 2.2954,                 1.1005,                0.78341,                0.73205,                0.80002,                0.35901,                 1.7624,                 1.9569,                  1.045,              0.0013262,              0.0013262,              0.0013262
                      9,                 1.9415,                 2.2048,                 1.0837,                0.62007,                0.72903,                0.71373,                0.31826,                 1.7705,                 1.9915,                 1.0459,              0.0013913,              0.0013913,              0.0013913
                     10,                 1.8746,                  2.038,                 1.0745,                0.74134,                0.76172,                0.77364,                0.35863,                 1.7462,                 1.8016,                 1.0534,              0.0013913,              0.0013913,              0.0013913
                     11,                 1.8255,                 1.9311,                 1.1091,                 0.6892,                0.61158,                0.68355,                0.29785,                 1.7985,                 1.9131,                 1.0537,              0.0013866,              0.0013866,              0.0013866
                     12,                 1.7783,                 1.8565,                 1.0422,                0.50765,                0.61851,                0.52019,                0.21979,                  1.974,                 2.3416,                 1.0971,              0.0013818,              0.0013818,              0.0013818
                     13,                  1.754,                 1.7885,                 1.0488,                 0.7513,                0.68269,                0.76719,                0.33609,                 1.7525,                 1.9477,                 1.0468,              0.0013771,              0.0013771,              0.0013771
                     14,                 1.7812,                 1.7086,                 1.0452,                0.70198,                0.72742,                0.76325,                0.34589,                 1.7742,                 1.7201,                 1.0379,              0.0013724,              0.0013724,              0.0013724
